1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (GA),GE RUNOFF ELECTION % (GA),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %,,,,,,
440,NC,North Carolina,S,S2NC00737,,Alyssia Rose-Katherine,Hammond,"Hammond, Alyssia Rose-Katherine",,D,"21,005",3.39%,,,,,,,,,,,,,,,,,,,,,,,
441,NC,North Carolina,S,S8NC00270,,Marcus W. ,Williams,"Williams, Marcus W. ",,D,"17,446",2.82%,,,,,,,,,,,,,,,,,,,,,,,
442,NC,North Carolina,S,S2NC00620,,Constance (Lov) ,Johnson,"Johnson, Constance (Lov) ",,D,"12,500",2.02%,,,,,,,,,,,,,,,,,,,,,,,
443,NC,North Carolina,S,S2NC00471 ,,Rett ,Newton,"Newton, Rett ",,D,"10,043",1.62%,,,,,,,,,,,,,,,,,,,,,,,
444,NC,North Carolina,S,S2NC00554 ,,Chrelle ,Booker,"Booker, Chrelle ",,D,"9,937",1.61%,,,,,,,,,,,,,,,,,,,,,,,
445,NC,North Carolina,S,S2NC00729,,B. K. ,Maginnis,"Maginnis, B. K. ",,D,"7,044",1.14%,,,,,,,,,,,,,,,,,,,,,,,
446,NC,North Carolina,S,S2NC00745,,Robert ,Colon,"Colon, Robert ",,D,"6,904",1.12%,,,,,,,,,,,,,,,,,,,,,,,
447,NC,North Carolina,S,S2NC00711 ,,Greg ,Antoine,"Antoine, Greg ",,D,"5,179",0.84%,,,,,,,,,,,,,,,,,,,,,,,
448,NC,North Carolina,S,S2NC00398 ,,Tobias ,LaGrone,"LaGrone, Tobias ",,D,"5,048",0.82%,,,,,,,,,,,,,,,,,,,,,,,
449,NC,North Carolina,S,n/a,,,,,Party Votes:,D,"618,775",,,,,,,,,,,,,,,,,,,,,,,,
450,NC,North Carolina,S,S0NC00335 ,,Shannon W. ,Bray,"Bray, Shannon W. ",,LIB,Unopposed,,,,"51,640",1.37%,,,,,W,,,,,,,,,,,,,,
451,NC,North Carolina,S,S2NC00562,,Matthew Patrick,Hoh,"Hoh, Matthew Patrick",,GRE,,,,,"29,934",0.79%,,,,,,,,,,,,,,,,,,,
452,NC,North Carolina,S,n/a,,,Scattered,Scattered,,W,,,,,"2,378",0.06%,,,,,,,,,,,,,,,,,,,
453,NC,North Carolina,S,S2NC00679,,Michelle Estelle,Lewis,"Lewis, Michelle Estelle",,W,,,,,137,0.00%,,,,,,,,,,,,,,,,,,,
454,NC,North Carolina,S,n/a,,,,,Total State Votes:,,"1,383,423",,,,"3,773,924",,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,ND,North Dakota,S,S0ND00093,(I),John,Hoeven,"Hoeven, John",,R,"59,529",77.83%,,,"135,474",56.41%,,,,,W,W,,,,,,,,,,,,,
457,ND,North Dakota,S,S2ND00131,,Riley,Kuntz,"Kuntz, Riley",,R,"16,400",21.44%,,,,,,,,,,,,,,,,,,,,,,,
458,ND,North Dakota,S,n/a,,,Scattered,Scattered,,W(R),557,0.73%,,,,,,,,,,,,,,,,,,,,,,,
459,ND,North Dakota,S,n/a,,,,,Party Votes:,R,"76,486",,,,,,,,,,,,,,,,,,,,,,,,
460,ND,North Dakota,S,S2ND00123,,Katrina,Christiansen,"Christiansen, Katrina",,DNL,"17,187",76.78%,,,"59,995",24.98%,,,,,W,,,,,,,,,,,,,,
461,ND,North Dakota,S,S2ND00107,,Michael J. ,Steele,"Steele, Michael J. ",,DNL,"5,174",23.11%,,,,,,,,,,,,,,,,,,,,,,,
462,ND,North Dakota,S,n/a,,,Scattered,Scattered,,W(DNL),24,0.11%,,,,,,,,,,,,,,,,,,,,,,,
463,ND,North Dakota,S,n/a,,,,,Party Votes:,DNL,"22,385",,,,,,,,,,,,,,,,,,,,,,,,
464,ND,North Dakota,S,S2ND00115,,Rick,Becker,"Becker, Rick",,IND,,,,,"44,406",18.49%,,,,,,,,,,,,,,,,,,,
465,ND,North Dakota,S,n/a,,,Scattered,Scattered,,W,,,,,265,0.11%,,,,,,,,,,,,,,,,,,,
466,ND,North Dakota,S,n/a,,,,,Total State Votes:,,"98,871",,,,"240,140",,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,OH,Ohio,S,S2OH00436,,JD,Vance,"Vance, JD",,R,"344,736",32.22%,,,"2,192,114",53.03%,,,,,W,W,,,,,,,,,,,,,
469,OH,Ohio,S,S2OH00170,,Josh,Mandel,"Mandel, Josh",,R,"255,854",23.92%,,,,,,,,,,,,,,,,,,,,,,,
470,OH,Ohio,S,S2OH00477,,Matt,Dolan,"Dolan, Matt",,R,"249,239",23.30%,,,,,,,,,,,,,,,,,,,,,,,
471,OH,Ohio,S,S8OH00086,,Mike,Gibbons,"Gibbons, Mike",,R,"124,653",11.65%,,,,,,,,,,,,,,,,,,,,,,,
472,OH,Ohio,S,S2OH00360,,Jane,Timken,"Timken, Jane",,R,"62,779",5.87%,,,,,,,,,,,,,,,,,,,,,,,
473,OH,Ohio,S,S2OH00287,,Mark,Pukita,"Pukita, Mark",,R,"22,692",2.12%,,,,,,,,,,,,,,,,,,,,,,,
474,OH,Ohio,S,S2OH00345,,Neil,Patel,"Patel, Neil",,R,"9,873",0.92%,,,,,,,,,,,,,,,,,,,,,,,
475,OH,Ohio,S,n/a,,,,,Party Votes:,R,"1,069,826",,,,,,,,,,,,,,,,,,,,,,,,
476,OH,Ohio,S,S2OH00402,,Tim,Ryan,"Ryan, Tim",,D,"359,941",69.55%,,,"1,939,489",46.92%,,,,,W,,,,,,,,,,,,,,
477,OH,Ohio,S,S2OH00469,,Morgan,Harper,"Harper, Morgan",,D,"92,347",17.84%,,,,,,,,,,,,,,,,,,,,,,,
478,OH,Ohio,S,S2OH00543,,Traci TJ,Johnson,"Johnson, Traci TJ",,D,"65,209",12.60%,,,,,,,,,,,,,,,,,,,,,,,
479,OH,Ohio,S,n/a,,,,,Party Votes:,D,"517,497",,,,,,,,,,,,,,,,,,,,,,,,
480,OH,Ohio,S,S2OH00550,,John,Cheng,"Cheng, John",,W,,,,,702,0.02%,,,,,,,,,,,,,,,,,,,
481,OH,Ohio,S,S2OH00576,,Shane,Hoffman,"Hoffman, Shane",,W,,,,,403,0.01%,,,,,,,,,,,,,,,,,,,
482,OH,Ohio,S,S2OH00493,,LaShondra,Tinsley,"Tinsley, LaShondra",,W,,,,,362,0.01%,,,,,,,,,,,,,,,,,,,
483,OH,Ohio,S,S8OH00144,,Stephen,Faris,"Faris, Stephen",,W,,,,,194,0.00%,,,,,,,,,,,,,,,,,,,
484,OH,Ohio,S,S2OH00568,,Matthew R.,Esh,"Esh, Matthew R.",,W,,,,,78,0.00%,,,,,,,,,,,,,,,,,,,
485,OH,Ohio,S,n/a,,,,,Total State Votes:,,"1,587,323",,,,"4,133,342",,,,,,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,OK,Oklahoma,S-Unexpired Term,S2OK00186,,Markwayne,Mullin,"Mullin, Markwayne",,R,"156,087",43.62%,"183,118",65.08%,"710,643",61.77%,,,,,W,W,,,,,,,,,,,,,
488,OK,Oklahoma,S-Unexpired Term,S2OK00210,,T.W.,Shannon,"Shannon, T.W.",,R,"62,746",17.53%,"98,246",34.92%,,,,,,,,,,,,,,,,,,,,,
489,OK,Oklahoma,S-Unexpired Term,S2OK00145,,Nathan,Dahm,"Dahm, Nathan",,R,"42,673",11.92%,,,,,,,,,,,,,,,,,,,,,,,
490,OK,Oklahoma,S-Unexpired Term,S2OK00194,,Luke ,Holland,"Holland, Luke ",,R,"40,353",11.28%,,,,,,,,,,,,,,,,,,,,,,,
491,OK,Oklahoma,S-Unexpired Term,S2OK00277,,Scott,Pruitt,"Pruitt, Scott",,R,"18,052",5.04%,,,,,,,,,,,,,,,,,,,,,,,
492,OK,Oklahoma,S-Unexpired Term,S2OK00251,,Randy J.,Grellner,"Grellner, Randy J.",,R,"15,794",4.41%,,,,,,,,,,,,,,,,,,,,,,,
493,OK,Oklahoma,S-Unexpired Term,S2OK00301,,Laura ,Moreno,"Moreno, Laura ",,R,"6,597",1.84%,,,,,,,,,,,,,,,,,,,,,,,
494,OK,Oklahoma,S-Unexpired Term,S2OK00160,,Jessica Jean,Garrison,"Garrison, Jessica Jean",,R,"6,114",1.71%,,,,,,,,,,,,,,,,,,,,,,,
495,OK,Oklahoma,S-Unexpired Term,S2OK00202,,Alex,Gray,"Gray, Alex",,R,"3,063",0.86%,,,,,,,,,,,,,,,,,,,,,,,
496,OK,Oklahoma,S-Unexpired Term,S0OK00453,,John F.,Tompkins ,"Tompkins, John F.",,R,"2,332",0.65%,,,,,,,,,,,,,,,,,,,,,,,
497,OK,Oklahoma,S-Unexpired Term,S2OK00244,,Adam,Holley,"Holley, Adam",,R,"1,873",0.52%,,,,,,,,,,,,,,,,,,,,,,,
498,OK,Oklahoma,S-Unexpired Term,S2OK00293,,Michael,Coibion,"Coibion, Michael",,R,"1,261",0.35%,,,,,,,,,,,,,,,,,,,,,,,
499,OK,Oklahoma,S-Unexpired Term,S2OK00319,,Paul,Royse,"Royse, Paul",,R,900,0.25%,,,,,,,,,,,,,,,,,,,,,,,
500,,Oklahoma,S-Unexpired Term,n/a,,,,,Party Votes:,R,"357,845",,"281,364",,,,,,,,,,,,,,,,,,,,,,
501,OK,Oklahoma,S-Unexpired Term,S2OK00228,,Kendra,Horn,"Horn, Kendra",,D,Unopposed,,,,"405,389",35.24%,,,,,W,,,,,,,,,,,,,,
502,OK,Oklahoma,S-Unexpired Term,S6OK04098,,Robert,Murphy,"Murphy, Robert",,LIB,Unopposed,,,,"17,386",1.51%,,,,,W,,,,,,,,,,,,,,
503,OK,Oklahoma,S-Unexpired Term,S4OK00349,,Ray,Woods,"Woods, Ray",,IND,,,,,"17,063",1.48%,,,,,,,,,,,,,,,,,,,
504,OK,Oklahoma,S-Unexpired Term,n/a,,,,,Total State Votes:,,"357,845",,"281,364",,"1,150,481",,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,OK,Oklahoma,S-Full Term,S4OK00232,(I),James,Lankford,"Lankford, James",,R,"243,132",67.83%,,,"739,960",64.30%,,,,,W,W,,,,,,,,,,,,,
507,OK,Oklahoma,S-Full Term,S2OK00111,,Jackson,Lahmeyer,"Lahmeyer, Jackson",,R,"94,572",26.38%,,,,,,,,,,,,,,,,,,,,,,,
508,OK,Oklahoma,S-Full Term,S2OK00129,,Joan,Farr,"Farr, Joan",,R,"20,761",5.79%,,,,,,,,,,,,,,,,,,,,,,,
509,OK,Oklahoma,S-Full Term,n/a,,,,,Party Votes:,R,"358,465",,,,,,,,,,,,,,,,,,,,,,,,
510,OK,Oklahoma,S-Full Term,S2OK00152,,Madison,Horn,"Horn, Madison",,D,"60,691",37.19%,"60,929",65.48%,"369,370",32.10%,,,,,W,,,,,,,,,,,,,,
511,OK,Oklahoma,S-Full Term,S2OK00137,,Jason ,Bollinger,"Bollinger, Jason ",,D,"27,374",16.77%,"32,121",34.52%,,,,,,,,,,,,,,,,,,,,,
512,OK,Oklahoma,S-Full Term,S2OK00269,,Dennis L.,Baker,"Baker, Dennis L.",,D,"22,467",13.77%,,,,,,,,,,,,,,,,,,,,,,,
513,OK,Oklahoma,S-Full Term,S2OK00178,,Jo,Glenn,"Glenn, Jo",,D,"21,198",12.99%,,,,,,,,,,,,,,,,,,,,,,,
514,OK,Oklahoma,S-Full Term,S2OK00285,,Brandon,Wade,"Wade, Brandon",,D,"19,986",12.25%,,,,,,,,,,,,,,,,,,,,,,,
515,OK,Oklahoma,S-Full Term,S2OK00327,,Arya,Azma,"Azma, Arya",,D,"11,478",7.03%,,,,,,,,,,,,,,,,,,,,,,,
516,OK,Oklahoma,S-Full Term,n/a,,,,,Party Votes:,D,"163,194",,"93,050",,,,,,,,,,,,,,,,,,,,,,
517,OK,Oklahoma,S-Full Term,S2OK00335,,Michael L.,Delaney,"Delaney, Michael L.",,IND,,,,,"20,907",1.82%,,,,,,,,,,,,,,,,,,,
518,OK,Oklahoma,S-Full Term,S2OK00236,,Kenneth D.,Blevins,"Blevins, Kenneth D.",,LIB,Unopposed,,,,"20,495",1.78%,,,,,W,,,,,,,,,,,,,,
519,OK,Oklahoma,S-Full Term,n/a,,,,,Total State Votes:,,"521,659",,"93,050",,"1,150,732",,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,OR,Oregon,S,S6OR00110,(I),Ron,Wyden,"Wyden, Ron",,D/IP,"439,665",88.79%,,,"1,076,424",55.83%,,,,,W,W,,,,,,,,,,,,,
522,OR,Oregon,S,S2OR00127,,"William E., III",Barlow,"Barlow, William E., III",,D,"35,025",7.07%,,,,,,,,,,,,,,,,,,,,,,,
523,OR,Oregon,S,S6OR00391,,Brent ,Thompson,"Thompson, Brent ",,D,"17,197",3.47%,,,,,,,,,,,,,,,,,,,,,,,
524,OR,Oregon,S,n/a,,,Scattered,Scattered,,W(D),"3,279",0.66%,,,,,,,,,,,,,,,,,,,,,,,
525,OR,Oregon,S,n/a,,,,,Party Votes:,D,"495,166",,,,,,,,,,,,,,,,,,,,,,,,
526,OR,Oregon,S,S4OR00156,,Joe Rae,Perkins,"Perkins, Joe Rae",,R/CON,"115,701",33.03%,,,"788,991",40.92%,,,,,W,,,,,,,,,,,,,,
527,OR,Oregon,S,S2OR00168,,Darin,Harbick,"Harbick, Darin",,R,"107,506",30.69%,,,,,,,,,,,,,,,,,,,,,,,
528,OR,Oregon,S,S2OR00150,,Sam,Palmer,"Palmer, Sam",,R,"42,703",12.19%,,,,,,,,,,,,,,,,,,,,,,,
529,OR,Oregon,S,S2OR00135,,Jason,Beebe,"Beebe, Jason",,R,"39,456",11.26%,,,,,,,,,,,,,,,,,,,,,,,
530,OR,Oregon,S,S2OR00184,,Christopher C.,Christensen,"Christensen, Christopher C.",,R,"28,433",8.12%,,,,,,,,,,,,,,,,,,,,,,,
531,OR,Oregon,S,S2OR00226,,Robert M. ,Fleming,"Fleming, Robert M. ",,R,"6,821",1.95%,,,,,,,,,,,,,,,,,,,,,,,
532,OR,Oregon,S,S0OR00329,,Ibra A. ,Taher,"Taher, Ibra A. ",,R,"6,659",1.90%,,,,,,,,,,,,,,,,,,,,,,,
533,OR,Oregon,S,n/a,,,Scattered,Scattered,,W(R),"3,024",0.86%,,,,,,,,,,,,,,,,,,,,,,,
534,OR,Oregon,S,n/a,,,,,Party Votes:,R,"350,303",,,,,,,,,,,,,,,,,,,,,,,,
535,OR,Oregon,S,S2OR00234,,Chris,Henry,"Henry, Chris",,PRO,,,,,"36,883",1.91%,,,,,,,,,,,,,,,,,,,
536,OR,Oregon,S,S2OR00176,,Dan,Pulju,"Pulju, Dan",,PG,*,,,,"23,454",1.22%,,,,,*,,"*  The Pacific Green Party nominated by convention on June 4, 2022.  Convention nominees is noted with an asterisk.",,,,,,,,,,,,
537,OR,Oregon,S,n/a,,,Scattered,Scattered,,W,,,,,"2,197",0.11%,,,,,,,,,,,,,,,,,,,
538,OR,Oregon,S,n/a,,,,,Total State Votes:,,"845,469",,,,"1,927,949",,,,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,PA,Pennsylvania,S,S6PA00274,,John K.,Fetterman,"Fetterman, John K.",,D,"753,557",58.27%,,,"2,751,012",51.17%,,,,,W,W,,,,,,,,,,,,,
541,PA,Pennsylvania,S,S2PA00562,,Conor J.,Lamb,"Lamb, Conor J.",,D,"337,498",26.10%,,,,,,,,,,,,,,,,,,,,,,,
542,PA,Pennsylvania,S,S2PA00398,,Malcolm,Kenyatta,"Kenyatta, Malcolm",,D,"139,393",10.78%,,,,,,,,,,,,,,,,,,,,,,,
543,PA,Pennsylvania,S,S2PA00406,,Alexandria Gloria,Khalil,"Khalil, Alexandria Gloria",,D,"54,460",4.21%,,,,,,,,,,,,,,,,,,,,,,,
544,PA,Pennsylvania,S,n/a,,,Scattered,Scattered,,W(D),"8,374",0.65%,,,,,,,,,,,,,,,,,,,,,,,
545,PA,Pennsylvania,S,n/a,,,,,Party Votes:,D,"1,293,282",,,,,,,,,,,,,,,,,,,,,,,,
546,PA,Pennsylvania,S,S2PA00638,,Mehmet,Oz,"Oz, Mehmet",,R,"420,168",31.08%,,,"2,487,260",46.27%,,,,,W,,,,,,,,,,,,,,
547,PA,Pennsylvania,S,S2PA00661,,David H.,McCormick,"McCormick, David H.",,R,"419,218",31.01%,,,,,,,,,,,,,,,,,,,,,,,
548,PA,Pennsylvania,S,S2PA00489,,Kathy J.,Barnette,"Barnette, Kathy J.",,R,"331,903",24.55%,,,,,,,,,,,,,,,,,,,,,,,
549,PA,Pennsylvania,S,S2PA00554,,Carla Herd,Sands,"Sands, Carla Herd",,R,"73,360",5.43%,,,,,,,,,,,,,,,,,,,,,,,
550,PA,Pennsylvania,S,S2PA00380,,Jeffrey A.,Bartos,"Bartos, Jeffrey A.",,R,"66,684",4.93%,,,,,,,,,,,,,,,,,,,,,,,
551,PA,Pennsylvania,S,S2PA00372,,Sean Peter,Gale,"Gale, Sean Peter",,R,"20,266",1.50%,,,,,,,,,,,,,,,,,,,,,,,
552,PA,Pennsylvania,S,S2PA00703,,George A.,Bochetto,"Bochetto, George A.",,R,"14,492",1.07%,,,,,,,,,,,,,,,,,,,,,,,
553,PA,Pennsylvania,S,n/a,,,Scattered,Scattered,,W(R),"5,819",0.43%,,,,,,,,,,,,,,,,,,,,,,,
554,PA,Pennsylvania,S,n/a,,,,,Party Votes:,R,"1,351,910",,,,,,,,,,,,,,,,,,,,,,,,
555,PA,Pennsylvania,S,S2PA00430,,Erik,Gerhardt,"Gerhardt, Erik",,LIB,,,,,"72,887",1.36%,,,,,,,,,,,,,,,,,,,
556,PA,Pennsylvania,S,S2PA00737,,Richard L.,Weiss,"Weiss, Richard L.",,GRE,,,,,"30,434",0.57%,,,,,,,,,,,,,,,,,,,
557,PA,Pennsylvania,S,S2PA00745,,Daniel,Wassmer,"Wassmer, Daniel",,KEY,,,,,"26,428",0.49%,,,,,,,,,,,,,,,,,,,
558,PA,Pennsylvania,S,n/a,,,Scattered,Scattered,,W,,,,,"7,864",0.15%,,,,,,,,,,,,,,,,,,,
559,PA,Pennsylvania,S,n/a,,,,,Total State Votes:,,"2,645,192",,,,"5,375,885",,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,SC,South Carolina,S,S4SC00240,(I),Tim,Scott,"Scott, Tim",,R,Unopposed,,,,"1,066,274",62.88%,,,,,W,W,,,,,,,,,,,,,
562,SC,South Carolina,S,S2SC00103,,Krystle,Matthews,"Matthews, Krystle",,D,"57,278",33.24%,"25,300",55.77%,"627,616",37.01%,,,,,W,,,,,,,,,,,,,,
563,SC,South Carolina,S,S2SC00145,,Catherine Fleming,Bruce,"Bruce, Catherine Fleming",,D,"59,777",34.69%,"20,064",44.23%,,,,,,,,,,,,,,,,,,,,,
564,SC,South Carolina,S,S2SC00111,,Angela,Geter,"Geter, Angela",,D,"55,281",32.08%,,,,,,,,,,,,,,,,,,,,,,,
565,SC,South Carolina,S,n/a,,,,,Party Votes:,D,"172,336",,"45,364",,,,,,,,,,,,,,,,,,,,,,
566,SC,South Carolina,S,n/a,,,Scattered,Scattered,,W,,,,,"1,812",0.11%,,,,,,,,,,,,,,,,,,,
567,SC,South Carolina,S,n/a,,,,,Total State Votes:,,"172,336",,"45,364",,"1,695,702",,,,,,,,,,,,,,,,,,,,
568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,SD,South Dakota,S,S2SD00068,(I),John R.,Thune,"Thune, John R.",,R,"85,613",72.24%,,,"242,316",69.63%,,,,,W,W,,,,,,,,,,,,,
570,SD,South Dakota,S,S2SD00118,,Bruce,Whalen,"Whalen, Bruce",,R,"24,071",20.31%,,,,,,,,,,,,,,,,,,,,,,,
571,SD,South Dakota,S,S2SD00092,,Mark,Mowry,"Mowry, Mark",,R,"8,827",7.45%,,,,,,,,,,,,,,,,,,,,,,,
572,SD,South Dakota,S,n/a,,,,,Party Votes:,R,"118,511",,,,,,,,,,,,,,,,,,,,,,,,
573,SD,South Dakota,S,S2SD00126,,Brian L.,Bengs,"Bengs, Brian L.",,D,Unopposed,,,,"91,007",26.15%,,,,,W,,,,,,,,,,,,,,
574,SD,South Dakota,S,S2SD00142,,Tamara J.,Lesnar,"Lesnar, Tamara J.",,LIB,*,,,,"14,697",4.22%,,,,,*,,"* The Libertarian Party nominated by convention on April 23, 2022.  Convention nominee is noted with an asterisk.",,,,,,,,,,,,
575,SD,South Dakota,S,n/a,,,,,Total State Votes:,,"118,511",,,,"348,020",,,,,,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,UT,Utah,S,S0UT00165,(I),Mike,Lee,"Lee, Mike",,R*,"258,089",61.94%,,,"571,974",53.15%,,,,,W,W,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Mike Lee achieved over 70% of the convention vote.  Republican candidates Becky Edward and Ally Isom participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022.  The Democratic, Republican and Independent American Party conventions were held on April 23, 2022.  Convention nominees are noted with an asterisk.",,,,,,,,,,,,
578,UT,Utah,S,S2UT00336,,Becky,Edwards,"Edwards, Becky",,R,"123,617",29.67%,,,,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Mike Lee achieved over 70% of the convention vote.  Republican candidates Becky Edward and Ally Isom participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022.  The Democratic, Republican and Independent American Party conventions were held on April 23, 2022.  Convention nominees are noted with an asterisk.",,,,,,,,,,,,
579,UT,Utah,S,S2UT00344,,Ally,Isom,"Isom, Ally",,R,"34,997",8.40%,,,,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  If one candidate achieves the required convention vote (in accordance with party rules) and there are no candidates that qualified for a primary election by gathering petition signatures, then the candidate is the nominee and the primary election is not held.  If a convention candidate does not achieve the required convention vote, then the top two convention vote-getters will participate in the primary election, along with any candidates that qualified by the signature-gathering method.  There can be multiple rounds of balloting at the party conventions.  For the Democratic and Republican parties, the required convention vote for nomination was 60%.  At the Republican convention, Mike Lee achieved over 70% of the convention vote.  Republican candidates Becky Edward and Ally Isom participated in the convention, but qualified for the primary election using the signature method.  The Libertarian Party convention date was April 9, 2022.  The Democratic, Republican and Independent American Party conventions were held on April 23, 2022.  Convention nominees are noted with an asterisk.",,,,,,,,,,,,
580,UT,Utah,S,n/a,,,,,Party Votes:,R,"416,703",,,,,,,,,,,,,,,,,,,,,,,,
581,UT,Utah,S,S0UT00215,,Jeremy,Friedbaum,"Friedbaum, Jeremy",,R,,,,,,,,,,,,,,,,,,,,,,,,,
582,UT,Utah,S,S2UT00286,,Evan,Barlow,"Barlow, Evan",,R,,,,,,,,,,,,,,,,,,,,,,,,,
583,UT,Utah,S,S0UT00231,,Loy,Brunson,"Brunson, Loy",,R,,,,,,,,,,,,,,,,,,,,,,,,,
584,UT,Utah,S,S2UT00377,,Laird Fetzer,Hamblin,"Hamblin, Laird Fetzer",,R,,,,,,,,,,,,,,,,,,,,,,,,,
585,UT,Utah,S,S2UT00369 	,,Evan,McMullin,"McMullin, Evan",,UN,,,,,"459,958",42.74%,,,,,,,,,,,,,,,,,,,
586,UT,Utah,S,S2UT00427,,James Arthur,Hansen,"Hansen, James Arthur",,LIB,*,,,,"31,784",2.95%,,,,,*,,,,,,,,,,,,,,
587,UT,Utah,S,S2UT00435,,Lucky,Bovo,"Bovo, Lucky",,LIB,,,,,,,,,,,,,,,,,,,,,,,,,
588,UT,Utah,S,S2UT00419,,Tommy,Williams,"Williams, Tommy",,IAP,*,,,,"12,103",1.12%,,,,,*,,,,,,,,,,,,,,
589,UT,Utah,S,S2UT00377,,Laird Fetzer,Hamblin,"Hamblin, Laird Fetzer",,W,,,,,152,0.01%,,,,,,,,,,,,,,,,,,,
590,UT,Utah,S,S2UT00450,,Michael ,Seguin,"Seguin, Michael ",,W,,,,,60,0.01%,,,,,,,,,,,,,,,,,,,
591,UT,Utah,S,S8UT00317,,Abraham,Korb,"Korb, Abraham",,W,,,,,37,0.00%,,,,,,,,,,,,,,,,,,,
592,UT,Utah,S,S2UT00385,,Kael,Weston,"Weston, Kael",,D,,,,,,,,,,,,,,,,,,,,,,,,,
593,UT,Utah,S,n/a,,,,,Total State Votes:,,"416,703",,,,"1,076,068",,,,,,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,VT,Vermont,S,S2VT00235,,Peter,Welch,"Welch, Peter",,D,"86,603",87.01%,,,"196,575",68.47%,,,,,W,W,,,,,,,,,,,,,
596,VT,Vermont,S,S2VT00334,,Isaac,Evans-Frantz,"Evans-Frantz, Isaac",,D,"7,230",7.26%,,,,,,,,,,,,,,,,,,,,,,,
597,VT,Vermont,S,S2VT00177,,Niki,Thran,"Thran, Niki",,D,"5,104",5.13%,,,,,,,,,,,,,,,,,,,,,,,
598,VT,Vermont,S,n/a,,,,Scattered,,W(D),599,0.60%,,,,,,,,,,,,,,,,,,,,,,,
599,VT,Vermont,S,n/a,,,,,Party Votes:,D,"99,536",,,,,,,,,,,,,,,,,,,,,,,,
600,VT,Vermont,S,S2VT00292,,Gerald,Malloy,"Malloy, Gerald",,R,"12,169",42.39%,,,"80,468",28.03%,,,,,W,,,,,,,,,,,,,,
601,VT,Vermont,S,S2VT00268,,Christina,Nolan,"Nolan, Christina",,R,"10,825",37.70%,,,,,,,,,,,,,,,,,,,,,,,
602,VT,Vermont,S,S2VT00300,,Myers,Mermel,"Mermel, Myers",,R,"5,227",18.21%,,,,,,,,,,,,,,,,,,,,,,,
603,VT,Vermont,S,n/a,,,,Scattered,,W(R),489,1.70%,,,,,,,,,,,,,,,,,,,,,,,
604,VT,Vermont,S,n/a,,,,,Party Votes:,R,"28,710",,,,,,,,,,,,,,,,,,,,,,,,
605,VT,Vermont,S,S2VT00409,,Dawn Marie,Ellis,"Ellis, Dawn Marie",,IND,,,,,"2,752",0.96%,,,,,,,,,,,,,,,,,,,
